"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","test_login","test_case","Thu Jan 09 17:11:51 CST 2025","passed","Thu Jan 09 17:11:52 CST 2025","","test_account","",""
"","250","test_search_goods","test_case","Thu Jan 09 17:11:52 CST 2025","passed","Thu Jan 09 17:11:52 CST 2025","","test_goods","",""
