"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_001","case用例依赖","Thu Jan 09 10:06:34 CST 2025","failed","Thu Jan 09 10:06:34 CST 2025","TestA","test_1","",""
"","2646","test_login_success","test_case","Thu Jan 09 10:06:34 CST 2025","broken","Thu Jan 09 10:06:36 CST 2025","TestLogin","test_login","",""
"","0","test_b01","case用例依赖","Thu Jan 09 10:06:34 CST 2025","skipped","Thu Jan 09 10:06:34 CST 2025","TestB","test_2","",""
"","0","test_002","case用例依赖","Thu Jan 09 10:06:34 CST 2025","skipped","Thu Jan 09 10:06:34 CST 2025","TestA","test_1","",""
